Student,Courses
Kirby Mayer,"{'Programming Paradigms', 'Computer Systems', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Millard Wilkinson,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Introduction to Programming 1'}"
Laurence Bright,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Dannie Ruiz,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Operating Systems'}"
Adolfo Mays,"{'Computer Systems', 'Introduction to Machine Learning', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints'}"
Horacio Santana,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Operating Systems'}"
Maggie Wells,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Operating Systems'}"
Harriett Rangel,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Algorithms and Data Structures', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Digital Systems'}"
Roy Munoz,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Operating Systems'}"
Eddie York,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Logic and Foundations of Mathematics'}"
Lawanda Gallegos,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Abstract Machines', 'Functional Programming'}"
Marty Riggs,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Abstract Machines', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Vickie Lowe,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Parallel Computing', 'Introduction to Programming 1'}"
Nathan Callahan,"{'Fundamentals of Digital Systems', 'Audio and Video Production', 'Logic programming and constraints', 'Introduction to Machine Learning'}"
Jesus Mathis,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Argumentation and Proof', 'Introduction to Machine Learning'}"
Mauro Malone,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Efficient Algorithms', 'Abstract Machines', 'Logic programming and constraints'}"
Andrea Bradley,"{'Logic for Knowledge Representation', 'Computer Systems', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Functional Programming'}"
Teodoro Floyd,"{'Introduction to Programming 1', 'Logic and Reasoning in Computer Science', 'Abstract Machines', 'Introduction to Programming 2'}"
Claude Lyons,"{'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Lee Evans,"{'Programming Paradigms', 'Argumentation and Proof', 'Introduction to Programming 2', 'Abstract Machines', 'Logic programming and constraints', 'Operating Systems'}"
Shirley Gilbert,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic and Foundations of Mathematics'}"
Mai Hammond,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Functional Programming'}"
Paul Park,"{'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Introduction to Programming 1', 'Operating Systems'}"
Brigitte Giles,"{'Logic for Knowledge Representation', 'Computer Systems', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic programming and constraints', 'Functional Programming'}"
Faith Olson,"{'Programming Paradigms', 'Computer Systems', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Functional Programming'}"
Helene Mack,"{'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Introduction to Programming 1', 'Functional Programming'}"
Bonnie Moyer,"{'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints', 'Introduction to Programming 1', 'Functional Programming'}"
Genevieve Welch,"{'Algorithms and Data Structures', 'Computer Systems', 'Efficient Algorithms', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Introduction to Programming 1'}"
Domingo Rojas,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Programming 2', 'Abstract Machines'}"
Katherine Shepherd,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Operating Systems'}"
Briana Ferrell,"{'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Johnathan Buchanan,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Introduction to Programming 1'}"
Terry Stanton,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Parallel Computing'}"
Marco Dougherty,"{'Logic for Knowledge Representation', 'Computer Systems', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Efficient Algorithms', 'Abstract Machines', 'Introduction to Programming 1'}"
Rosetta Short,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Functional Programming', 'Efficient Algorithms'}"
Mallory Harper,"{'Functional Programming', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Abstract Machines'}"
Matt Beard,"{'Argumentation and Proof', 'Introduction to Programming 1', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning'}"
