Student,Courses
Kirby Mayer,"{'Programming Paradigms', 'Computer Systems', 'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Millard Wilkinson,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Programming 1'}"
Laurence Bright,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Visual Computing', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Dannie Ruiz,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Introduction to Programming 1', 'Operating Systems'}"
Adolfo Mays,"{'Computer Systems', 'Introduction to Machine Learning', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints'}"
Horacio Santana,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Operating Systems'}"
Maggie Wells,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Audio and Video Production', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Operating Systems'}"
Harriett Rangel,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Digital Systems'}"
Roy Munoz,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Operating Systems'}"
Eddie York,"{'Logic for Knowledge Representation', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Logic and Foundations of Mathematics'}"
Lawanda Gallegos,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Functional Programming'}"
Marty Riggs,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Abstract Machines', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Vickie Lowe,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Parallel Computing', 'Logic programming and constraints'}"
Nathan Callahan,"{'Introduction to Machine Learning', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Functional Programming'}"
Jesus Mathis,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Argumentation and Proof', 'Introduction to Machine Learning'}"
Mauro Malone,"{'Logic programming and constraints', 'Efficient Algorithms', 'Introduction to Programming 2'}"
Andrea Bradley,"{'Logic for Knowledge Representation', 'Computer Systems', 'Introduction to Machine Learning', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Functional Programming'}"
Teodoro Floyd,"{'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Introduction to Programming 1'}"
Claude Lyons,"{'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Lee Evans,"{'Argumentation and Proof', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Logic programming and constraints', 'Operating Systems'}"
Shirley Gilbert,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Logic programming and constraints', 'Operating Systems'}"
Mai Hammond,"{'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Paul Park,"{'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Introduction to Programming 1', 'Operating Systems'}"
Brigitte Giles,"{'Logic for Knowledge Representation', 'Computer Systems', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Functional Programming'}"
Faith Olson,"{'Programming Paradigms', 'Logic and Foundations of Mathematics', 'Introduction to Programming 2'}"
Helene Mack,"{'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms'}"
Bonnie Moyer,"{'Argumentation and Proof', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Genevieve Welch,"{'Algorithms and Data Structures', 'Computer Systems', 'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Introduction to Programming 1'}"
Domingo Rojas,"{'Algorithms and Data Structures', 'Efficient Algorithms', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Abstract Machines'}"
Katherine Shepherd,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Visual Computing', 'Abstract Machines', 'Logic programming and constraints'}"
Briana Ferrell,"{'Programming Paradigms', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Johnathan Buchanan,"{'Audio and Video Production', 'Introduction to Programming 1', 'Introduction to Artificial Intelligence', 'Functional Programming'}"
Terry Stanton,"{'Logic for Knowledge Representation', 'Logic and Foundations of Mathematics', 'Logic and Reasoning in Computer Science'}"
Marco Dougherty,"{'Logic for Knowledge Representation', 'Computer Systems', 'Introduction to Programming 2'}"
Rosetta Short,"{'Logic programming and constraints', 'Algorithms and Data Structures', 'Functional Programming', 'Efficient Algorithms'}"
Mallory Harper,"{'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Functional Programming'}"
Matt Beard,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Fundamentals of Digital Systems', 'Introduction to Programming 1'}"
Jessie Bauer,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Logic and Foundations of Mathematics', 'Logic programming and constraints', 'Functional Programming'}"
Irvin Rice,"{'Logic for Knowledge Representation', 'Audio and Video Production', 'Logic and Foundations of Mathematics'}"
Alfred Rich,"{'Fundamentals of Digital Systems', 'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Efficient Algorithms'}"
Frances Salas,"{'Logic for Knowledge Representation', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Parallel Computing', 'Logic programming and constraints'}"
Lucien Monroe,"{'Algorithms and Data Structures', 'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Operating Systems', 'Logic and Foundations of Mathematics'}"
Jewel Nolan,"{'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Stefanie Huang,"{'Logic for Knowledge Representation', 'Computer Systems', 'Operating Systems', 'Abstract Machines'}"
Nadine Mckee,"{'Algorithms and Data Structures', 'Argumentation and Proof', 'Efficient Algorithms', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Functional Programming'}"
Jason Williams,"{'Logic for Knowledge Representation', 'Computer Systems', 'Efficient Algorithms', 'Introduction to Visual Computing', 'Logic programming and constraints'}"
Rachel Santiago,"{'Computer Systems', 'Algorithms and Data Structures', 'Efficient Algorithms', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Introduction to Programming 1'}"
Jarrett Dodson,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Audio and Video Production', 'Fundamentals of Digital Systems'}"
Benito Cherry,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Pierre Galloway,"{'Logic for Knowledge Representation', 'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Functional Programming', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Dorian Barber,"{'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Audio and Video Production', 'Logic and Foundations of Mathematics', 'Introduction to Artificial Intelligence', 'Functional Programming'}"
Taylor Zamora,"{'Logic and Foundations of Mathematics', 'Introduction to Programming 2'}"
Joanna Wells,"{'Algorithms and Data Structures', 'Efficient Algorithms', 'Introduction to Programming 2', 'Abstract Machines', 'Functional Programming'}"
Ida Barker,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Parallel Computing', 'Introduction to Programming 1'}"
Fabian George,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Operating Systems'}"
Deirdre Rojas,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Logic programming and constraints', 'Functional Programming'}"
Alvaro Sweeney,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Logic programming and constraints', 'Functional Programming'}"
Roy Reese,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Introduction to Visual Computing', 'Functional Programming', 'Logic programming and constraints', 'Operating Systems'}"
Jewell Holt,"{'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Parallel Computing'}"
Quentin Ibarra,"{'Algorithms and Data Structures', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Alfonso Hayes,"{'Computer Systems', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Functional Programming'}"
Jeannine Mckee,"{'Computer Systems', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Claudine Morales,"{'Logic for Knowledge Representation', 'Logic and Foundations of Mathematics'}"
Judith Choi,"{'Functional Programming', 'Logic and Reasoning in Computer Science', 'Abstract Machines', 'Introduction to Programming 2'}"
